Loading csv files in memory, 2021-05-07 08:57:43.623
New Teacher Added, 2021-05-07 08:58:09.791
New Student Added, 2021-05-07 08:58:27.143
New Student Added, 2021-05-07 08:58:50.112
New Course Added, 2021-05-07 08:58:57.664
Loading csv files in memory, 2021-05-07 09:01:04.028
Loading csv files in memory, 2021-05-07 09:02:07.721
Loading csv files in memory, 2021-05-07 09:02:16.929
New Course Added, 2021-05-07 09:02:28.626
New Quiz Added, 2021-05-07 09:02:45.573
New Feedback Added, 2021-05-07 09:02:53.534
New Feedback Added, 2021-05-07 09:03:31.899
New Course Repartition Added, 2021-05-07 09:03:44.644
New Teaching Assistant Added, 2021-05-07 09:04:42.211
Loading csv files in memory, 2021-05-07 09:05:53.606
Loading csv files in memory, 2021-05-24 14:11:22.651
Loading csv files in memory, 2021-05-24 14:12:48.121
Loading csv files in memory, 2021-05-24 14:20:07.635
Loading csv files in memory, 2021-05-24 14:21:04.333
Loading csv files in memory, 2021-05-24 14:21:24.156
Loading csv files in memory, 2021-05-24 14:22:21.481
Loading csv files in memory, 2021-05-24 14:22:31.288
Loading csv files in memory, 2021-05-24 14:26:04.319
Loading csv files in memory, 2021-05-24 14:27:35.748
Loading csv files in memory, 2021-05-24 14:28:17.238
Loading csv files in memory, 2021-05-24 14:29:48.626
Loading csv files in memory, 2021-05-24 14:30:38.735
Loading csv files in memory, 2021-05-24 14:31:49.849
Loading csv files in memory, 2021-05-24 14:32:22.988
Loading csv files in memory, 2021-05-24 14:33:32.596
Loading csv files in memory, 2021-05-24 14:34:18.151
Loading csv files in memory, 2021-05-24 15:09:32.407
Loading csv files in memory, 2021-05-24 15:13:08.175
Loading csv files in memory, 2021-05-24 15:13:19.825
Loading csv files in memory, 2021-05-24 15:14:35.964
Loading csv files in memory, 2021-05-24 15:15:35.088
Loading csv files in memory, 2021-05-24 15:16:16.112
Loading csv files in memory, 2021-05-24 15:16:39.326
Loading csv files in memory, 2021-05-24 15:19:54.27
Loading csv files in memory, 2021-05-24 15:22:32.556
Loading csv files in memory, 2021-05-24 15:25:00.689
Loading csv files in memory, 2021-05-24 15:45:59.093
Loading csv files in memory, 2021-05-24 15:47:25.886
